NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT04540484,COVID-19 IgG Formation in Physicians at ALGH and Their Household Members,,Recruiting,No Results Available,Covid19|SARS-CoV Infection|Communicable Disease,,Identifying positive COVID-19 IgG formation|Physician Prevalence of COVID-19 serum IgG|Household Member Prevalence of COVID-19 serum IgG|Physician Risk of Exposure|Physician and Household Member Transmission|Asymptomatic Infection|PPE Use and Positivity|Antibody Persistence,Advocate Health Care|Terika Richardson- President's Fund|Medical Staff Fund- Dr. John Ruge|Advocate Foundation- Ally Regnier and Chrisy Santos,All,"18 Years and older   (Adult, Older Adult)",,900,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,1606472-1|M5500436,26-Aug-20,24-Sep-21,24-Sep-21,7-Sep-20,,9-Sep-20,"Advocate Lutheran General Hospital, Park Ridge, Illinois, United States",,https://ClinicalTrials.gov/show/NCT04540484
NCT04463004,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in COVID-19 Pneumonia and Systemic Hyper-inflammation,,Recruiting,No Results Available,COVID-19|Sars-CoV2|Pneumonia,Drug: Mavrilimumab|Drug: Placebos,Proportion of subjects alive and off of oxygen at day 14|Proportion of subjects alive and without respiratory failure at 28 days,"Virginia Commonwealth University|Kiniksa Pharmaceuticals, Ltd.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,60,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",HM20019145,2-Sep-20,Aug-21,Aug-21,9-Jul-20,,10-Sep-20,"Virginia Commonwealth University, Richmond, Virginia, United States",,https://ClinicalTrials.gov/show/NCT04463004
NCT04366986,International Registry of Coronavirus (COVID-19) Exposure in Pregnancy,IRCEP,Recruiting,No Results Available,Covid-19,Other: Tested for SARS-CoV-2 (regardless of the result)|Other: Clinical diagnosis of COVID-19 by a health care professional,Pregnancy outcomes|Birth outcomes,Pregistry|Harvard School of Public Health,Female,"18 Years and older   (Adult, Older Adult)",,25000,Industry|Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,1,23-Jun-20,30-Apr-24,30-Apr-24,29-Apr-20,,25-Jun-20,"Pregistry, Los Angeles, California, United States",,https://ClinicalTrials.gov/show/NCT04366986
NCT04381013,Emergency Ventilator Splitting Between Two or More Patients (COVID-19),,Not yet recruiting,No Results Available,COVID-19,Device: Emergency Ventilator Splitter,Completion of 1-minute test|Completion of 24-hour test,Stanford University,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,4,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility,57573,Mar-21,Apr-21,Apr-21,8-May-20,,14-Dec-20,"Stanford University, Stanford, California, United States",,https://ClinicalTrials.gov/show/NCT04381013
NCT04652765,Camostat With Bicalutamide for COVID-19,COMBO,Not yet recruiting,No Results Available,Covid19|SARS-CoV Infection|Coronavirus Infection,Drug: Camostat Mesilate|Drug: Bicalutamide 150 mg,Number of participants requiring hospitalization|Number of participants experiencing symptoms|Number of drug-related adverse events|Number of drug-related serious adverse events|All-cause mortality,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,All,"60 Years and older   (Adult, Older Adult)",Phase 1,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,COV2005|IRB00254142,Jan-21,Jan-23,Jan-23,3-Dec-20,,3-Dec-20,"Johns Hopkins Hospital, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04652765
NCT04345601,Mesenchymal Stromal Cells for the Treatment of SARS-CoV-2 Induced Acute Respiratory Failure (COVID-19 Disease),,Not yet recruiting,No Results Available,Sars-CoV2|Acute Respiratory Distress Syndrome|COVID-19,Biological: Mesenchymal Stromal Cells|Other: Supportive Care,Treatment-related serious adverse events (tSAEs)|Change in clinical status at day 14,"Baylor College of Medicine|Center for Cell and Gene Therapy, Baylor College of Medicine|The Methodist Hospital System",All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,30,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,H-47561 MSC for COVID-19,Dec-20,Sep-22,Sep-22,14-Apr-20,,12-Nov-20,"Houston Methodist Hospital, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT04345601
NCT04465981,Investigation of Antibody and Immune Responses to SARS-CoV-2 Proteins,SARS-CoV-2,Recruiting,No Results Available,COVID-19|Corona Virus Infection,Diagnostic Test: Sampling,Detection Test of COVID-19,INanoBio Inc.|TMC HealthCare,All,"18 Years and older   (Adult, Older Adult)",,80,Industry|Other,Observational,Observational Model: Cohort|Time Perspective: Other,INANO-CV1,Jul-20,Dec-20,Jun-21,10-Jul-20,,27-Jul-20,"TMC HealthCare, Tucson, Arizona, United States",,https://ClinicalTrials.gov/show/NCT04465981
NCT04418557,COVID-19 and Obstetric Transmission,COVIDOB,Recruiting,No Results Available,COVID|Pregnancy Complications,Diagnostic Test: RT-PCR and antibody testing,Presence of COVID-19 virus|Presence of antibodies to COVID-19 virus,University Hospitals Cleveland Medical Center|Cuyahoga County Board of Health|The Cleveland Clinic|MetroHealth Medical Center|Case Western Reserve University,Female,18 Years to 50 Years   (Adult),,200,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,20200479,28-Apr-20,31-Jul-21,31-Jul-21,5-Jun-20,,9-Jun-20,"University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States",,https://ClinicalTrials.gov/show/NCT04418557
NCT04397939,Myocardial Injury and Major Adverse Outcomes in Patients With COVID-19,,Recruiting,No Results Available,COVID-19|Myocardial Reperfusion Injury|Cardiovascular Diseases,,Number of In-Hospital Death|Length of Stay|Number of Successful Treatment,Icahn School of Medicine at Mount Sinai,All,"Child, Adult, Older Adult",,5000,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,GCO 20-0965,8-May-20,Mar-21,Mar-22,21-May-20,,16-Jun-20,"Mount Sinai Hospital, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04397939
NCT04435522,Maraviroc in Patients With Moderate and Severe COVID-19,,Recruiting,No Results Available,COVID,Drug: Maraviroc,Rate of Completion|Clinical improvement at Day 7|Change in Chitinase 3-like 1(Chi3l1) (ng/mL)|Change in Interleukin-6 (IL-6) (pg/mL)|Change in CCL5 (RANTES) (ng/mL)|Mortality|Time to Discharge|Days on mechanical ventilation,Rhode Island Hospital,All,"18 Years to 99 Years   (Adult, Older Adult)",Phase 1,16,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1611471-1,21-Sep-20,31-Dec-20,Jan-21,17-Jun-20,,25-Sep-20,"Rhode Island Hospital, Providence, Rhode Island, United States",,https://ClinicalTrials.gov/show/NCT04435522
NCT04565392,Study of Famotidine With Vitamins C and D for Pandemic Coronavirus,CDFCOV19,Not yet recruiting,No Results Available,Covid19,Drug: Famotidine 20 MG,Negative outcome|Positive response|Relapse|tolerability of ascorbic acid|Unexpected serious adverse event,drpykessupplements.com,All,"18 Years and older   (Adult, Older Adult)",Phase 4,216,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pykonsult 201,1-Dec-20,30-Jun-21,31-Jul-21,25-Sep-20,,25-Sep-20,"Pykonsult headquarters, New Fairfield, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT04565392
NCT04570397,Ravulizumab and COVID-19,,Recruiting,No Results Available,Covid19|Thrombotic Microangiopathies|Acute Kidney Injury,Drug: Ravulizumab,Assess the efficacy of ravulizumab to ameliorate SARS-CoV-2 (COVID-19)-induced acute kidney injury manifesting as thrombotic microangiopathy.|Evaluation of pharmacokinetics of ravulizumab in participants with COVID-19,Brigham and Women's Hospital,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 3,32,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,92420,18-Dec-20,May-21,Nov-21,30-Sep-20,,14-Jan-21,"Brigham and Women's Hospital, Boston, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT04570397
NCT04639375,Polio Vaccine (IPV) for SARS-CoV-2 and Prevention of Coronavirus Disease (COVID-19),,Recruiting,No Results Available,SARS-CoV-2,Biological: Vaccinated with polio vaccine (IPV),Percentage of Subjects with Antibodies to SARS-CoV-2 RdRp following IPV Vaccination|Determination of neutralizing titer of antibodies raised to SARS-CoV-2 following vaccination with polio vaccine,E-MO Biology Inc,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 4,25,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,EMO-001,15-Nov-20,15-Jan-21,15-Jan-21,20-Nov-20,,27-Nov-20,"Rac Ii Md, National City, California, United States",,https://ClinicalTrials.gov/show/NCT04639375
NCT04408183,GLS-1200 Topical Nasal Spray to Prevent SARS-CoV-2 Infection (COVID-19) in Health Care Personnel,,Recruiting,No Results Available,SARS-CoV 2|Infection,Drug: GLS-1200|Drug: Placebo,"Evaluate the number of GLS-1200 topical nasal spray adverse events as assessed by CTCAE v5.0|Incidence of SARS-CoV-2 infection, confirmed by PCR relative to treatment group|Symptom score of documented SARS-CoV-2 infection relative to treatment group with a higher score being a worse outcome.","GeneOne Life Science, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,225,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",T2R-002,1-Jun-20,Feb-21,Mar-21,29-May-20,,3-Dec-20,"Sinus and Nasal Specialists of Louisiana, Baton Rouge, Louisiana, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT04408183
NCT04574869,A Study of RLS-0071 in Patients With Acute Lung Injury Due to COVID-19 Pneumonia in Early Respiratory Failure,,Not yet recruiting,No Results Available,Acute Lung Injury|ALI|COVID-19,Drug: RLS-0071|Drug: Placebo,"Frequency and severity of Adverse Events, including Serious Adverse Events, by treatment group and dose level, including the frequency of premature discontinuation of study intervention due to Adverse Events.|Incidence of clinically significant changes from baseline in clinical laboratory values, ADA, autoantibody panel, vital signs, physical examination, ECG, radiography, and concomitant medications.|Number of patients with positive ADA titers after receiving a single dose (Part A) or multiple doses (Part B) of RLS-0071.|Estimates of single-dose maximum plasma concentration (Cmax) for RLS-0071.|Estimates of single-dose time to maximum plasma concentration (Tmax) for RLS-0071.|Estimates of single-dose minimum plasma concentration (Cmin) for RLS-0071.|Estimates of single-dose area under the plasma concentration-time curve (AUC) for RLS-0071.|Estimates of single-dose apparent total volume of distribution for RLS-0071.|Estimates of single-dose apparent total body clearance for RLS-0071.|Estimates of single-dose apparent first-order terminal elimination half-life for RLS-0071.|Estimates of multiple-dose maximum plasma concentration (Cmax) for RLS-0071.|Estimates of multiple-dose peak time to maximum plasma concentration (Tmax) for RLS-0071.|Estimates of multiple-dose area under the plasma concentration-time curve (AUC) for RLS-0071.|Estimates of multiple-dose average plasma drug concentration observed (Cavg) for RLS-0071.|Estimates of multiple-dose trough concentration prior to dose administration (Ctrough).|Estimates of multiple-dose apparent total volume of distribution for RLS-0071.|Estimates of multiple-dose apparent total body clearance for RLS-0071.|Estimates of multiple-dose apparent first-order terminal elimination half-life for RLS-0071.|Assessment of dose response relationship of single and multiple doses of RLS-0071 on C1q levels and the complement activity assay.|Overall survival.|Incidence of progression to respiratory failure requiring mechanical ventilation.|Incidence of transfer to the ICU.|Duration of hospitalization after treatment (days).|Incidence, severity, and duration after treatment (days) of fever (≥ 39.0°C).|Incidence, severity, and duration after treatment (days) of cough per investigator assessment of CTCAE's latest version.|Duration of requirement for supplemental oxygen after treatment (days).|PaO2/FiO2|Incidence, severity, and duration after treatment (days) of new cardiovascular events as assessed by the investigator (e.g. myocardial infarction, stroke, TIA, ischemic limb) with CTCAE's latest version.|Incidence, severity, and duration after treatment (days) of respiratory acidosis as assessed by the investigator with CTCAE's latest version.|Incidence and duration after treatment (days) of dialysis.|Levels of complement activity (eg, CH50).|Levels of C1q (free and bound to RLS-0071).","ReAlta Life Sciences, Inc.",All,"18 Years to 69 Years   (Adult, Older Adult)",Phase 1,42,Industry,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",RLS-0071-102,Oct-20,Mar-21,Jul-21,5-Oct-20,,5-Oct-20,"Prestige Clinical Research Center, Coral Gables, Florida, United States",,https://ClinicalTrials.gov/show/NCT04574869
NCT04627675,CORVax12: SARS-CoV-2 Spike (S) Protein Plasmid DNA Vaccine Trial for COVID-19 (SARS-CoV-2),CORVax12,Not yet recruiting,No Results Available,SARS-CoV-2,Drug: CORVax|Drug: IL-12 plasmid|Device: Cliniporator,Toxicity|Medically Attended Adverse Events (MAAEs),Providence Health & Services|OncoSec Medical Incorporated,All,"18 Years and older   (Adult, Older Adult)",Phase 1,36,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,2020000320 CORVax12,Dec-20,May-21,May-22,13-Nov-20,,13-Nov-20,"Providence Portland Medical Center, Portland, Oregon, United States",,https://ClinicalTrials.gov/show/NCT04627675
NCT04526769,Detecting SARS-CoV-2 in Tears,,Not yet recruiting,No Results Available,COVID|COVID-19|Corona Virus Infection|SARS-CoV-2,Diagnostic Test: Tear Collection,COVID-19 Virus Detection in Tears|COVID-19 Virus Detection in Nasopharyngeal Swabs|Expression of ACE2 in Lacrimal Gland Samples|Expression of ACE2 in Ocular Surface Samples,University of Minnesota,All,"18 Years and older   (Adult, Older Adult)",,30,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,STUDY00009512,Sep-20,Apr-21,Apr-21,26-Aug-20,,26-Aug-20,"University of Minnesota, Minneapolis, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT04526769
